id,pharmacy_id,medicine_id,quantity_dispensed,transaction_date,is_outbreak_signal,event_name
1,1,49,116,2024-07-01,True,Diarrhea_Bole_Jul2024
2,1,49,88,2024-07-02,True,Diarrhea_Bole_Jul2024
3,1,49,152,2024-07-03,True,Diarrhea_Bole_Jul2024
4,1,49,91,2024-07-04,True,Diarrhea_Bole_Jul2024
5,1,49,92,2024-07-05,True,Diarrhea_Bole_Jul2024
6,1,49,137,2024-07-06,True,Diarrhea_Bole_Jul2024
7,1,49,180,2024-07-07,True,Diarrhea_Bole_Jul2024
8,1,49,113,2024-07-08,True,Diarrhea_Bole_Jul2024
9,1,49,88,2024-07-09,True,Diarrhea_Bole_Jul2024
10,1,49,131,2024-07-10,True,Diarrhea_Bole_Jul2024
11,1,49,103,2024-07-11,True,Diarrhea_Bole_Jul2024
12,1,49,179,2024-07-12,True,Diarrhea_Bole_Jul2024
13,1,49,82,2024-07-13,True,Diarrhea_Bole_Jul2024
14,1,49,154,2024-07-14,True,Diarrhea_Bole_Jul2024
15,8,49,160,2024-07-01,True,Diarrhea_Bole_Jul2024
16,8,49,83,2024-07-02,True,Diarrhea_Bole_Jul2024
17,8,49,104,2024-07-03,True,Diarrhea_Bole_Jul2024
18,8,49,166,2024-07-04,True,Diarrhea_Bole_Jul2024
19,8,49,145,2024-07-05,True,Diarrhea_Bole_Jul2024
20,8,49,84,2024-07-06,True,Diarrhea_Bole_Jul2024
21,8,49,154,2024-07-07,True,Diarrhea_Bole_Jul2024
22,8,49,137,2024-07-08,True,Diarrhea_Bole_Jul2024
23,8,49,94,2024-07-09,True,Diarrhea_Bole_Jul2024
24,8,49,173,2024-07-10,True,Diarrhea_Bole_Jul2024
25,8,49,141,2024-07-11,True,Diarrhea_Bole_Jul2024
26,8,49,129,2024-07-12,True,Diarrhea_Bole_Jul2024
27,8,49,162,2024-07-13,True,Diarrhea_Bole_Jul2024
28,8,49,155,2024-07-14,True,Diarrhea_Bole_Jul2024
29,19,49,109,2024-07-01,True,Diarrhea_Bole_Jul2024
30,19,49,176,2024-07-02,True,Diarrhea_Bole_Jul2024
31,19,49,146,2024-07-03,True,Diarrhea_Bole_Jul2024
32,19,49,113,2024-07-04,True,Diarrhea_Bole_Jul2024
33,19,49,124,2024-07-05,True,Diarrhea_Bole_Jul2024
34,19,49,163,2024-07-06,True,Diarrhea_Bole_Jul2024
35,19,49,160,2024-07-07,True,Diarrhea_Bole_Jul2024
36,19,49,142,2024-07-08,True,Diarrhea_Bole_Jul2024
37,19,49,81,2024-07-09,True,Diarrhea_Bole_Jul2024
38,19,49,111,2024-07-10,True,Diarrhea_Bole_Jul2024
39,19,49,148,2024-07-11,True,Diarrhea_Bole_Jul2024
40,19,49,128,2024-07-12,True,Diarrhea_Bole_Jul2024
41,19,49,150,2024-07-13,True,Diarrhea_Bole_Jul2024
42,19,49,172,2024-07-14,True,Diarrhea_Bole_Jul2024
43,20,49,106,2024-07-01,True,Diarrhea_Bole_Jul2024
44,20,49,152,2024-07-02,True,Diarrhea_Bole_Jul2024
45,20,49,163,2024-07-03,True,Diarrhea_Bole_Jul2024
46,20,49,160,2024-07-04,True,Diarrhea_Bole_Jul2024
47,20,49,151,2024-07-05,True,Diarrhea_Bole_Jul2024
48,20,49,143,2024-07-06,True,Diarrhea_Bole_Jul2024
49,20,49,112,2024-07-07,True,Diarrhea_Bole_Jul2024
50,20,49,113,2024-07-08,True,Diarrhea_Bole_Jul2024
51,20,49,149,2024-07-09,True,Diarrhea_Bole_Jul2024
